iter	Passed	Remaining
1414	3515	368
1415	3517	365
1416	3519	363
1417	3522	360
1418	3524	357
1419	3526	354
1420	3529	352
1421	3535	349
1422	3537	346
1423	3539	344
1424	3542	341
1425	3544	338
1426	3547	335
1427	3549	333
1428	3552	330
1429	3557	327
1430	3560	325
1431	3562	322
1432	3565	319
1433	3567	316
1434	3569	314
1435	3572	311
1436	3574	308
1437	3580	306
1438	3582	303
1439	3585	300
1440	3587	297
1441	3589	295
1442	3592	292
1443	3594	289
1444	3597	286
1445	3602	284
1446	3605	281
1447	3607	278
1448	3610	276
1449	3613	273
1450	3613	273
1451	3613	273
1452	3615	265
1453	3615	265
1454	3615	265
1455	3617	256
1456	3619	254
1457	3622	251
1458	3624	248
1459	3626	245
1460	3629	243
1461	3631	240
1462	3633	237
1463	3636	234
1464	3638	232
1465	3640	229
1466	3643	226
1467	3645	223
1468	3648	221
1469	3650	218
1470	3652	215
1471	3652	215
1472	3655	210
1473	3657	207
1474	3657	207
1475	3659	201
1476	3662	199
1477	3664	196
1478	3666	193
1479	3669	190
1480	3671	188
1481	3673	185
1482	3676	182
1483	3678	179
1484	3680	177
1485	3682	174
1486	3685	171
1487	3687	168
1488	3690	166
1489	3692	163
1490	3695	160
1491	3697	157
1492	3700	155
1493	3702	152
1494	3704	149
1495	3707	146
1496	3709	144
1497	3711	141
1498	3714	138
1499	3719	136
1500	3722	133
1501	3724	130
1502	3726	127
1503	3729	125
1504	3732	122
1505	3734	119
1506	3736	117
1507	3742	114
1508	3744	111
1509	3746	108
1510	3749	106
1511	3751	103
1512	3754	100
1513	3757	98
1514	3763	95
1515	3766	92
1516	3769	89
1517	3771	87
1518	3773	84
1519	3776	81
1520	3778	79
1521	3781	76
1522	3783	73
1523	3786	70
1524	3788	68
1525	3790	65
1526	3793	62
1527	3795	59
1528	3797	57
1529	3800	54
1530	3802	51
1531	3804	48
1532	3806	46
1533	3809	43
1534	3811	40
1535	3813	38
1536	3816	35
1537	3818	32
1538	3820	29
1539	3823	27
1540	3825	24
1541	3827	21
1542	3830	19
1543	3832	16
1544	3834	13
1545	3836	10
1546	3839	8
1547	3841	5
1548	3843	2
1549	3846	0
